_id,id,category_name,subcategory_name,subsubcategory,rating,url,name,address,latitude,longitude,price,GoodFor,Duration,geo_cluster,category_encoded,cluster,distance_to_centroid
693153bff76f2835c1ab8c76,39,Culinary Tourism,Cafe,Seaside Coffee,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/7e/e4/f7/caption.jpg?w=800&h=-1&s=1,Cosmitto Coffee,"Passage du Lac Lodoga, Tunis Tunisia",36.8769847,10.3277729,Mid Range,Families with children,<1 hour,2,0,4,0.5993451799623573
693153bff76f2835c1ab8c77,40,Culinary Tourism,Cafe,Inland Coffee,4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/ae/36/14/caption.jpg?w=800&h=-1&s=1,Green Light Coffee House,"20 Mars, Tunis 2079 Tunisia",36.8077254,10.137788,Mid Range,Families with children,<1 hour,0,0,0,0.760522006107441
693153bff76f2835c1ab8c78,41,Culinary Tourism,Cafe,Inland Coffee,5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/ee/19/81/le-chat-noir-espresso.jpg?w=800&h=-1&s=1,Le Chat Noir Espresso Bar,"8 Avenue Salah Ben Youssef, Tunis 1019 Tunisia",36.8461824,10.1568828,Cheap Eats,Families with children,<1 hour,0,0,2,0.22378882735067585
693153bff76f2835c1ab8c79,42,Culinary Tourism,Cafe,Inland Coffee,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/d4/fe/91/caption.jpg?w=600&h=400&s=1,Little Sarrajine Coffee,"Rue Sarrajine, Tunis Tunisia",36.7954337,10.1690891,Mid Range,Families with children,<1 hour,0,0,0,0.07647391866430976
693153bff76f2835c1ab8c7a,43,Culinary Tourism,Cafe,Inland Coffee,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhb8ahsnUQejGwz1fzVOnnyytpEc7y2pHaqA&s,The Closet Coffe Shop,"Résidence Les Orangers , Jardins De Carthage, Tunis Tunisia",36.8524537,10.3004974,Mid Range,Families with children,<1 hour,2,0,2,0.6768595106368682
693153bff76f2835c1ab8c7b,44,Culinary Tourism,Cafe,Seaside Coffee,3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/2c/4e/16/zalig-verpozen.jpg?w=600&h=400&s=1,Frederic cassel,"Les Berges Du Lac, Tunis 1053 Tunisia",36.8412847,10.2662466,Mid Range,Families with children,<1 hour,2,0,3,0.46066791480040287
693153bff76f2835c1ab8c7c,45,Culinary Tourism,Cafe,Seaside Coffee,3.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/3c/3e/c5/welcome.jpg?w=800&h=-1&s=1,72 Coffee & Drinks,"Rue de lac LÃ©man, Tunis 1053 Tunisia",36.8384933,10.238775,Mid Range,Families with children,<1 hour,0,0,3,0.7435839590481939
693153bff76f2835c1ab8c7d,46,Culinary Tourism,Cafe,Inland Coffee,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQd4dXiexSqR62P5Xadoa9liPwSLvWsa5Nu9Q&s,Galerie Café,"Les, Local M5 RÃ©sidence L'Horizon, Tunis 2046 Tunisia",36.8016667,10.1218352,Mid Range,Families with children,<1 hour,0,0,3,0.4155319450534272
693153bff76f2835c1ab8c7e,47,Culinary Tourism,Cafe,Inland Coffee,4,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.facebook.com%2Fgoodvibescoffeeshop%2F&psig=AOvVaw2MdKbVxXNbNfZCCGR6BI-5&ust=1721208596581000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCIixke2fq4cDFQAAAAAdAAAAABAE,Good Vibes Coffe Shop," Avenue du 14 Janvier 2011, a cote du Avenue 20 Mars 1956 El Mourouj, Tunis 2079 Tunisia",36.7070303,10.2055364,Cheap Eats,Families with children,<1 hour,0,0,0,0.30371425016404474
693153bff76f2835c1ab8c7f,48,Culinary Tourism,Cafe,Inland Coffee,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTm0Qwg272c-BIg9vQ2l86ViocWf0QSQTV3YQ&s,Dar Ben Salem ,"4 Rue Torbet El Bey The Medina, Tunis 1008 Tunisia",36.7941546,10.1732551,Mid Range,Families with children,<1 hour,0,0,3,0.1607435973829598
693153bff76f2835c1ab8c80,49,Culinary Tourism,Cafe,Inland Coffee,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKOA-bBi89Gz_RKci3aks98ECy6XDE8Tdqug&s,La Cuillère Suédoise,"Avenue fattouma bourgiba 63 Bredvid nattapoteket, Tunis Tunisia",36.819383,10.1818343,Mid Range,Families with children,<1 hour,0,0,3,0.12456615420856612
693153bff76f2835c1ab8c81,50,Culinary Tourism,Cafe,Inland Coffee,3.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLprD5cBTHVMkxxDSmTemjoHOQv3gpB5SfAg&s,Le Palazzo,"Lac2, Tunis 1059 Tunisia",36.8707871,10.3496866,Mid Range,Families with children,<1 hour,2,0,4,0.587799387643721
693153bff76f2835c1ab8c82,51,Nature and Adventure,Nature,Beach,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZLbCUVafXE4JmcnTQwHTJp7ZLuwhxW2EE-w&s,Sidi Bou Said Beach,"Sidou Bou Said, Tunis Tunisia",36.8710935,10.3490516,free,Families with children,<1 hour,2,0,2,0.9625200317122125
693153bff76f2835c1ab8c83,52,Nature and Adventure,Nature,Beach,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZgSn5UQuVGqAq11TDSwgDXTVttC2bHWtKWA&s,La Marsa Corniche,"La Marsa , Tunis Tunisia",36.8820812,10.3383306,free,Families with children,<1 hour,2,0,4,0.572072188721716
693153bff76f2835c1ab8c84,53,Nature and Adventure,Nature,Forest,3.5,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.facebook.com%2F352271538255386%2Fphotos%2Fa.352276211588252%2F1460774884071707%2F%3Ftype%3D3&psig=AOvVaw1ZNQDmSd5LGDQsRpLdQPAZ&ust=1721210147069000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCKCXoNilq4cDFQAAAAAdAAAAABAE,Borj El Cedria Forest,"Borj El Cedria, Tunis Tunisia",36.7062168,10.4027433,free,Families with children,<1 hour,4,0,4,0.4621708247347197
693153bff76f2835c1ab8c85,54,Nature and Adventure,Adventure,Entertainment,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNw1oK7NU2Aitn8_tszRSJvUfaExMp-13eNg&s,Carthage Land Les Berges Du Lac,"1 Av. principale, Tunis 1059 Tunisie",36.8709608,10.3469817,Mid Range,Families with children,<1 hour,3,0,4,1.7737765102070657
693153bff76f2835c1ab8c86,55,Nature and Adventure,Adventure,Entertainment,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcxhrqICzu7D3TiH2J5JKaKKZgJ2IHBBk1Bw&s,Dah Dah Happy Land Entertainment Park,"R6MG+P9J, Av. principale, Tunis",36.8353384,10.2242795,Mid Range,Families with children,<1 hour,0,0,0,0.31221475719220915
693153bff76f2835c1ab8c87,56,Nature and Adventure,Adventure,Entertainment,3,https://www.tunisienumerique.com/wp-content/uploads/2024/02/parc-1.jpg,Belvedere Park,"R5CC+QMX, Avenue Taieb Mhiri, Tunis",36.8233387,10.1715683,Mid Range,Families with children,<1 hour,0,0,3,0.1586529470940158
